[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=110s target=90k/s gen=630,075 (22498/s) emit=630,075 (22498/s) drop=0 (0.0%) q=0
[Source-1] t=120s target=90k/s gen=855,075 (22500/s) emit=810,164 (18009/s) drop=0 (0.0%) q=44910
[Source-1] FINALIZADO en 122.4s: generated=909,075, emitted=856,770, dropped=11,974 (1.3%)
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=130s target=90k/s gen=909,075 (5400/s) emit=856,770 (4661/s) drop=11,974 (1.3%) q=40331
[Source-1] t=10s target=15k/s gen=48,750 (4875/s) emit=48,750 (4875/s) drop=0 (0.0%) q=0
[Source-1] t=20s target=15k/s gen=86,325 (3757/s) emit=86,325 (3757/s) drop=0 (0.0%) q=0
[Source-1] t=31s target=15k/s gen=123,825 (3563/s) emit=123,825 (3563/s) drop=0 (0.0%) q=0
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=41s target=15k/s gen=149,400 (2557/s) emit=149,400 (2557/s) drop=0 (0.0%) q=0
[Source-1] t=10s target=15k/s gen=48,825 (4882/s) emit=48,825 (4882/s) drop=0 (0.0%) q=0
[Source-1] t=20s target=15k/s gen=86,325 (3750/s) emit=86,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=31s target=15k/s gen=123,825 (3283/s) emit=123,825 (3283/s) drop=0 (0.0%) q=0
[Source-1] t=41s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=51s target=15k/s gen=198,825 (3750/s) emit=198,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=61s target=15k/s gen=236,325 (3750/s) emit=236,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=71s target=15k/s gen=273,825 (3750/s) emit=273,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=81s target=15k/s gen=311,325 (3750/s) emit=311,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=91s target=15k/s gen=348,825 (3750/s) emit=348,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=101s target=90k/s gen=426,450 (7763/s) emit=426,450 (7763/s) drop=0 (0.0%) q=0
[Source-1] t=111s target=90k/s gen=651,450 (22500/s) emit=649,176 (22273/s) drop=0 (0.0%) q=2273
[Source-1] t=121s target=90k/s gen=876,450 (22491/s) emit=822,137 (17289/s) drop=9,312 (1.1%) q=45000
[Source-1] t=131s target=90k/s gen=1,101,450 (23825/s) emit=995,095 (18314/s) drop=63,442 (5.8%) q=42912
[Source-1] t=141s target=90k/s gen=1,326,450 (22498/s) emit=1,152,390 (15728/s) drop=132,945 (10.0%) q=41114
[Source-1] t=151s target=90k/s gen=1,551,450 (22500/s) emit=1,330,589 (17820/s) drop=180,034 (11.6%) q=40826
[Source-1] t=160s target=90k/s gen=1,776,450 (23868/s) emit=1,498,313 (17792/s) drop=235,674 (13.3%) q=42462
[Source-1] t=170s target=90k/s gen=2,001,450 (22498/s) emit=1,655,596 (15727/s) drop=305,638 (15.3%) q=40215
[Source-1] t=180s target=90k/s gen=2,226,450 (22500/s) emit=1,828,567 (17297/s) drop=352,882 (15.8%) q=45000
[Source-1] t=190s target=90k/s gen=2,451,450 (24049/s) emit=2,001,521 (18486/s) drop=407,918 (16.6%) q=42010
[Source-1] t=200s target=15k/s gen=2,657,700 (20625/s) emit=2,164,071 (16255/s) drop=457,519 (17.2%) q=36109
[Source-1] t=210s target=15k/s gen=2,695,200 (3750/s) emit=2,237,681 (7360/s) drop=457,519 (17.0%) q=0
[Source-1] t=220s target=15k/s gen=2,732,700 (3750/s) emit=2,275,181 (3750/s) drop=457,519 (16.7%) q=0
[Source-1] t=229s target=15k/s gen=2,770,200 (4026/s) emit=2,312,681 (4026/s) drop=457,519 (16.5%) q=0
[Source-1] t=239s target=15k/s gen=2,807,700 (3750/s) emit=2,350,181 (3750/s) drop=457,519 (16.3%) q=0
[Source-1] t=249s target=15k/s gen=2,845,200 (3750/s) emit=2,387,681 (3750/s) drop=457,519 (16.1%) q=0
[Source-1] t=258s target=15k/s gen=2,882,700 (4000/s) emit=2,425,181 (4000/s) drop=457,519 (15.9%) q=0
[Source-1] t=268s target=15k/s gen=2,920,200 (3750/s) emit=2,462,681 (3750/s) drop=457,519 (15.7%) q=0
[Source-1] t=278s target=15k/s gen=2,957,700 (3750/s) emit=2,500,181 (3750/s) drop=457,519 (15.5%) q=0
[Source-1] t=288s target=15k/s gen=2,995,200 (4027/s) emit=2,537,681 (4027/s) drop=457,519 (15.3%) q=0
[Source-1] t=298s target=15k/s gen=3,032,700 (3750/s) emit=2,575,181 (3750/s) drop=457,519 (15.1%) q=0
[Source-1] FINALIZADO en 300.1s: generated=3,041,400, emitted=2,583,881, dropped=457,519 (15.0%)
[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-3] t=10s target=15k/s gen=48,750 (4875/s) emit=48,750 (4875/s) drop=0 (0.0%) q=0
[Source-3] t=20s target=15k/s gen=86,250 (3750/s) emit=86,250 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=31s target=15k/s gen=123,750 (3551/s) emit=123,750 (3551/s) drop=0 (0.0%) q=0
[Source-3] t=41s target=15k/s gen=161,250 (3750/s) emit=161,250 (3750/s) drop=0 (0.0%) q=0
