[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=80s target=15k/s gen=300,750 (3750/s) emit=300,750 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=80s target=15k/s gen=278,175 (3750/s) emit=278,175 (3750/s) drop=0 (0.0%) q=0
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=90s target=15k/s gen=307,200 (645/s) emit=307,200 (645/s) drop=0 (0.0%) q=0
[Source-1] t=90s target=15k/s gen=284,625 (645/s) emit=284,625 (645/s) drop=0 (0.0%) q=0
[Source-1] t=10s target=15k/s gen=48,600 (4860/s) emit=48,600 (4860/s) drop=0 (0.0%) q=0
[Source-4] t=10s target=15k/s gen=48,600 (4860/s) emit=48,600 (4860/s) drop=0 (0.0%) q=0
[Source-1] t=19s target=15k/s gen=86,100 (4060/s) emit=86,100 (4060/s) drop=0 (0.0%) q=0
[Source-4] t=19s target=15k/s gen=86,100 (4060/s) emit=86,100 (4060/s) drop=0 (0.0%) q=0
[Source-1] t=29s target=15k/s gen=123,600 (3750/s) emit=123,600 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=29s target=15k/s gen=123,600 (3750/s) emit=123,600 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=39s target=15k/s gen=161,100 (3750/s) emit=161,100 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=39s target=15k/s gen=161,100 (3750/s) emit=161,100 (3750/s) drop=0 (0.0%) q=0
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=49s target=15k/s gen=189,525 (3059/s) emit=189,525 (3059/s) drop=0 (0.0%) q=0
[Source-4] t=49s target=15k/s gen=189,450 (3051/s) emit=189,450 (3051/s) drop=0 (0.0%) q=0
[Source-1] t=10s target=15k/s gen=48,825 (4883/s) emit=48,825 (4883/s) drop=0 (0.0%) q=0
